"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","1,635.00","1,635.00","1,750.00","1,500.00","60.62K","0.00%"
"01/04/2023","1,635.00","1,635.00","1,635.00","1,635.00","1.33M","0.00%"
"01/05/2023","1,500.00","1,635.00","1,500.00","1,500.00","198.66K","-8.26%"
"01/06/2023","1,550.00","1,500.00","1,550.00","1,550.00","1.10M","3.33%"
"01/09/2023","1,630.00","1,550.00","1,630.00","1,630.00","631.31K","5.16%"
"01/10/2023","1,560.00","1,630.00","1,560.00","1,560.00","180.52K","-4.29%"
"01/11/2023","1,560.00","1,560.00","1,560.00","1,560.00","502.52K","0.00%"
"01/12/2023","1,550.00","1,560.00","1,615.00","1,550.00","2.65M","-0.64%"
"01/13/2023","1,550.00","1,550.00","1,630.00","1,557.80","0.97K","0.00%"
"01/16/2023","1,550.00","1,550.00","1,629.40","1,550.00","179.84K","0.00%"
"01/17/2023","1,600.00","1,550.00","1,600.00","1,600.00","714.19K","3.23%"
"01/18/2023","1,610.00","1,600.00","1,610.00","1,610.00","381.00K","0.63%"
"01/19/2023","1,610.00","1,610.00","1,630.00","1,580.00","0.11K","0.00%"
"01/20/2023","1,610.00","1,610.00","1,610.00","1,601.00","18.44K","0.00%"
"01/23/2023","1,610.00","1,610.00","1,700.00","1,600.50","3.51K","0.00%"
"01/24/2023","1,610.00","1,610.00","1,700.00","1,613.40","4.23K","0.00%"
"01/25/2023","1,610.00","1,610.00","1,650.00","1,630.00","0.68K","0.00%"
"01/26/2023","1,610.00","1,610.00","1,670.00","1,630.00","72.32K","0.00%"
"01/27/2023","1,610.00","1,610.00","1,679.00","1,630.00","52.48K","0.00%"
"01/30/2023","1,660.00","1,610.00","1,660.00","1,660.00","663.75K","3.11%"
"01/31/2023","1,660.00","1,660.00","1,660.00","1,505.00","2.14M","0.00%"
"02/01/2023","1,660.00","1,660.00","1,617.70","1,549.80","855.38K","0.00%"
"02/02/2023","1,660.00","1,660.00","1,599.00","1,494.00","2.33M","0.00%"
"02/03/2023","1,660.00","1,660.00","1,494.10","1,494.00","27.32K","0.00%"
"02/06/2023","1,660.00","1,660.00","1,570.00","1,494.00","752.25K","0.00%"
"02/07/2023","1,660.00","1,660.00","1,560.00","1,500.20","544.41K","0.00%"
"02/08/2023","1,660.00","1,660.00","1,560.00","1,500.00","165.40K","0.00%"
"02/09/2023","1,660.00","1,660.00","1,550.00","1,530.00","177.41K","0.00%"
"02/10/2023","1,660.00","1,660.00","1,569.90","1,510.00","843.01K","0.00%"
"02/13/2023","1,660.00","1,660.00","1,555.00","1,510.50","17.13K","0.00%"
"02/14/2023","1,660.00","1,660.00","1,575.10","1,515.10","0.96K","0.00%"
"02/15/2023","1,660.00","1,660.00","1,559.80","1,549.90","553.34K","0.00%"
"02/16/2023","1,660.00","1,660.00","1,575.00","1,555.00","15.58K","0.00%"
"02/17/2023","1,560.00","1,660.00","1,560.00","1,560.00","214.26K","-6.02%"
"02/20/2023","1,620.00","1,560.00","1,620.00","1,590.00","1.84M","3.85%"
"02/21/2023","1,620.00","1,620.00","1,602.00","1,535.10","220.38K","0.00%"
"02/22/2023","1,620.00","1,620.00","1,610.00","1,543.40","603.92K","0.00%"
"02/23/2023","1,620.00","1,620.00","1,609.70","1,547.40","81.27K","0.00%"
"02/24/2023","1,620.00","1,620.00","1,580.00","1,537.00","68.29K","0.00%"
"02/27/2023","1,620.00","1,620.00","1,580.00","1,535.30","65.70K","0.00%"
"02/28/2023","1,620.00","1,620.00","1,580.00","1,500.10","86.10K","0.00%"
"03/01/2023","1,535.00","1,620.00","1,535.00","1,535.00","504.21K","-5.25%"
"03/02/2023","1,548.70","1,535.00","1,548.70","1,500.00","631.24K","0.89%"
"03/03/2023","1,548.70","1,548.70","1,534.50","1,393.90","99.96K","0.00%"
"03/06/2023","1,548.70","1,548.70","1,506.00","1,410.00","51.49K","0.00%"
"03/07/2023","1,548.70","1,548.70","1,489.90","1,422.00","1.44K","0.00%"
"03/08/2023","1,548.70","1,548.70","1,490.00","1,425.20","2.84K","0.00%"
"03/09/2023","1,548.70","1,548.70","1,488.00","1,420.20","0.99K","0.00%"
"03/10/2023","1,548.70","1,548.70","1,489.90","1,452.10","0.28K","0.00%"
"03/13/2023","1,548.70","1,548.70","1,488.80","1,475.00","3.84K","0.00%"
"03/14/2023","1,548.70","1,548.70","1,488.00","1,396.10","457.87K","0.00%"
"03/15/2023","1,548.70","1,548.70","1,470.00","1,398.10","36.82K","0.00%"
"03/16/2023","1,548.70","1,548.70","1,445.00","1,393.90","2.01K","0.00%"
"03/17/2023","1,548.70","1,548.70","1,444.60","1,393.90","0.02K","0.00%"
"03/20/2023","1,548.70","1,548.70","1,420.00","1,393.90","0.69K","0.00%"
"03/21/2023","1,548.70","1,548.70","1,440.00","1,420.00","0.20K","0.00%"
"03/22/2023","1,548.70","1,548.70","1,420.00","1,396.00","34.34K","0.00%"
"03/23/2023","1,548.70","1,548.70","1,444.90","1,396.00","0.27K","0.00%"
"03/24/2023","1,548.70","1,548.70","1,419.90","1,397.00","462.12K","0.00%"
"03/27/2023","1,420.00","1,548.70","1,420.00","1,420.00","256.51K","-8.31%"
"03/28/2023","1,420.00","1,420.00","1,418.00","1,282.80","84.21K","0.00%"
"03/29/2023","1,420.00","1,420.00","1,389.00","1,278.00","43.83K","0.00%"
"03/30/2023","1,420.00","1,420.00","1,373.00","1,278.00","26.56K","0.00%"
"03/31/2023","1,479.00","1,420.00","1,479.00","1,479.00","344.49K","4.15%"
"04/03/2023","1,479.00","1,479.00","1,360.00","1,331.10","1.57K","0.00%"
"04/04/2023","1,479.00","1,479.00","1,331.10","1,331.10","3.22K","0.00%"
"04/05/2023","1,331.10","1,479.00","1,331.10","1,331.10","403.27K","-10.00%"
"04/06/2023","1,331.10","1,331.10","1,280.00","1,198.00","240.29K","0.00%"
"04/11/2023","1,198.00","1,331.10","1,198.00","1,198.00","291.19K","-10.00%"
"04/12/2023","1,198.00","1,198.00","1,190.00","1,078.20","98.14K","0.00%"
"04/13/2023","1,198.00","1,198.00","1,190.00","1,150.00","128.46K","0.00%"
"04/14/2023","1,198.00","1,198.00","1,197.00","1,162.00","121.53K","0.00%"
"04/17/2023","1,198.00","1,198.00","1,197.00","1,150.00","8.93K","0.00%"
"04/18/2023","1,198.00","1,198.00","1,195.00","1,170.00","4.62K","0.00%"
"04/19/2023","1,198.00","1,198.00","1,185.00","1,130.00","9.45K","0.00%"
"04/20/2023","1,198.00","1,198.00","1,197.00","1,150.00","24.65K","0.00%"
"04/25/2023","1,198.00","1,198.00","1,192.80","1,101.00","4.44K","0.00%"
"04/26/2023","1,250.00","1,198.00","1,250.00","1,250.00","130.36K","4.34%"
"04/27/2023","1,250.00","1,250.00","1,245.00","1,190.30","131.60K","0.00%"
"04/28/2023","1,250.00","1,250.00","1,249.00","1,190.00","13.33K","0.00%"
"05/02/2023","1,250.00","1,250.00","1,223.40","1,171.30","73.32K","0.00%"
"05/03/2023","1,250.00","1,250.00","1,249.00","1,175.00","6.43K","0.00%"
"05/04/2023","1,250.00","1,250.00","1,188.00","1,130.00","2.81K","0.00%"
"05/05/2023","1,250.00","1,250.00","1,249.90","1,130.30","336.70K","0.00%"
"05/08/2023","1,250.00","1,250.00","1,210.00","1,136.10","1.21M","0.00%"
"05/09/2023","1,250.00","1,250.00","1,195.00","1,160.00","188.35K","0.00%"
"05/10/2023","1,250.00","1,250.00","1,180.00","1,160.00","25.57K","0.00%"
"05/11/2023","1,250.00","1,250.00","1,185.00","1,150.00","8.86K","0.00%"
"05/12/2023","1,250.00","1,250.00","1,185.00","1,140.00","6.74K","0.00%"
"05/15/2023","1,250.00","1,250.00","1,180.00","1,125.00","7.77K","0.00%"
"05/16/2023","1,250.00","1,250.00","1,189.90","1,125.00","503.11K","0.00%"
"05/17/2023","1,250.00","1,250.00","1,150.00","1,125.00","19.69K","0.00%"
"05/18/2023","1,175.00","1,250.00","1,175.00","1,175.00","150.22K","-6.00%"
"05/19/2023","1,175.00","1,175.00","1,173.00","1,125.00","66.28K","0.00%"
"05/22/2023","1,175.00","1,175.00","1,190.00","1,165.00","2.23K","0.00%"
"05/23/2023","1,175.00","1,175.00","1,170.00","1,100.10","9.84K","0.00%"
"05/24/2023","1,175.00","1,175.00","1,149.70","1,125.00","73.82K","0.00%"
"05/25/2023","1,175.00","1,175.00","1,160.00","1,135.00","105.42K","0.00%"
"05/26/2023","1,175.00","1,175.00","1,149.80","1,120.00","169.36K","0.00%"
"05/30/2023","1,175.00","1,175.00","1,140.00","1,065.10","306.33K","0.00%"
"05/31/2023","1,175.00","1,175.00","1,160.00","1,080.00","634.46K","0.00%"
"06/01/2023","1,175.00","1,175.00","1,119.80","1,076.90","177.09K","0.00%"
"06/02/2023","1,175.00","1,175.00","1,100.00","1,067.00","90.33K","0.00%"
"06/05/2023","1,175.00","1,175.00","1,070.00","1,060.20","16.27K","0.00%"
"06/06/2023","1,198.00","1,175.00","1,198.00","1,198.00","1.48M","1.96%"
"06/07/2023","1,196.00","1,198.00","1,196.00","1,196.00","2.33M","-0.17%"
"06/08/2023","1,196.00","1,196.00","1,155.00","1,130.00","706.21K","0.00%"
"06/09/2023","1,196.00","1,196.00","1,169.50","1,150.00","155.65K","0.00%"
"06/13/2023","1,289.00","1,196.00","1,289.00","1,289.00","261.66K","7.78%"
"06/14/2023","1,289.00","1,289.00","1,299.90","1,200.00","272.04K","0.00%"
"06/15/2023","1,289.00","1,289.00","1,295.00","1,200.00","15.70K","0.00%"
"06/16/2023","1,289.00","1,289.00","1,288.00","1,180.10","40.44K","0.00%"
"06/19/2023","1,289.00","1,289.00","1,287.90","1,202.10","8.38K","0.00%"
"06/20/2023","1,289.00","1,289.00","1,270.00","1,200.00","5.52K","0.00%"
