"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","97.75","97.75","90.00","88.00","399.22K","0.00%"
"01/04/2023","96.00","97.75","97.00","89.90","101.65M","-1.79%"
"01/05/2023","96.00","96.00","93.00","86.40","234.51K","0.00%"
"01/06/2023","96.00","96.00","96.00","96.00","30.20M","0.00%"
"01/09/2023","96.00","96.00","92.00","86.80","269.90K","0.00%"
"01/10/2023","96.00","96.00","96.00","90.00","30.46M","0.00%"
"01/11/2023","99.45","96.00","99.70","95.00","42.39M","3.59%"
"01/12/2023","99.45","99.45","97.00","92.60","81.19K","0.00%"
"01/13/2023","99.45","99.45","97.00","93.20","239.35K","0.00%"
"01/16/2023","99.45","99.45","98.90","89.70","313.35K","0.00%"
"01/17/2023","99.45","99.45","93.90","89.55","7.97K","0.00%"
"01/18/2023","99.45","99.45","93.95","89.55","137.87K","0.00%"
"01/19/2023","99.45","99.45","90.00","89.55","13.41K","0.00%"
"01/20/2023","99.45","99.45","90.00","89.55","247.18K","0.00%"
"01/23/2023","99.45","99.45","92.50","89.55","59.58K","0.00%"
"01/24/2023","99.45","99.45","90.00","89.55","142.83K","0.00%"
"01/25/2023","99.45","99.45","90.00","89.55","45.95K","0.00%"
"01/26/2023","99.45","99.45","90.00","89.55","23.35K","0.00%"
"01/27/2023","99.45","99.45","90.00","89.55","1.99K","0.00%"
"01/30/2023","99.45","99.45","90.00","89.55","219.57K","0.00%"
"01/31/2023","99.45","99.45","90.00","89.55","1.51K","0.00%"
"02/01/2023","99.45","99.45","89.55","89.55","154.06K","0.00%"
"02/02/2023","99.45","99.45","91.50","89.55","92.88K","0.00%"
"02/03/2023","99.45","99.45","90.45","89.55","75.48K","0.00%"
"02/06/2023","99.45","99.45","92.50","89.55","49.41K","0.00%"
"02/07/2023","99.45","99.45","92.50","89.55","33.64K","0.00%"
"02/08/2023","99.45","99.45","90.00","89.55","5.84K","0.00%"
"02/09/2023","99.45","99.45","90.95","89.55","27.22K","0.00%"
"02/10/2023","99.45","99.45","91.00","89.55","51.44K","0.00%"
"02/13/2023","99.45","99.45","92.40","89.55","377.06K","0.00%"
"02/14/2023","99.45","99.45","92.50","89.55","211.12K","0.00%"
"02/15/2023","99.45","99.45","92.35","89.55","9.64K","0.00%"
"02/16/2023","99.45","99.45","92.35","89.55","24.86K","0.00%"
"02/17/2023","99.45","99.45","92.30","89.55","122.18K","0.00%"
"02/20/2023","99.45","99.45","92.35","89.55","162.41K","0.00%"
"02/21/2023","99.45","99.45","92.35","89.55","2.43K","0.00%"
"02/22/2023","99.45","99.45","92.20","89.55","5.10K","0.00%"
"02/23/2023","99.45","99.45","92.25","89.55","17.09K","0.00%"
"02/24/2023","99.45","99.45","95.70","90.00","599.76K","0.00%"
"02/27/2023","99.45","99.45","95.90","89.70","123.44K","0.00%"
"02/28/2023","99.45","99.45","95.00","89.70","19.73K","0.00%"
"03/01/2023","99.45","99.45","94.40","89.55","62.16K","0.00%"
"03/02/2023","99.45","99.45","94.25","89.70","10.75K","0.00%"
"03/03/2023","99.45","99.45","90.00","89.70","1.79K","0.00%"
"03/06/2023","99.45","99.45","95.00","89.55","26.34K","0.00%"
"03/07/2023","99.45","99.45","94.55","89.55","74.62K","0.00%"
"03/08/2023","99.45","99.45","93.80","89.55","11.47K","0.00%"
"03/09/2023","99.45","99.45","94.90","89.55","82.24K","0.00%"
"03/10/2023","99.45","99.45","99.45","99.45","70.94M","0.00%"
"03/13/2023","99.45","99.45","97.80","89.60","5.05K","0.00%"
"03/14/2023","99.45","99.45","96.00","90.00","61.91K","0.00%"
"03/15/2023","99.45","99.45","94.95","90.50","255.08K","0.00%"
"03/16/2023","99.45","99.45","94.55","89.55","96.50K","0.00%"
"03/17/2023","99.45","99.45","94.80","89.55","277.97K","0.00%"
"03/20/2023","99.45","99.45","95.00","89.55","83.46K","0.00%"
"03/21/2023","99.45","99.45","95.50","89.55","62.54K","0.00%"
"03/22/2023","99.45","99.45","93.95","89.55","139.80K","0.00%"
"03/23/2023","99.45","99.45","89.55","89.55","52.06K","0.00%"
"03/24/2023","97.85","99.45","97.85","89.55","652.59K","-1.61%"
"03/27/2023","97.85","97.85","97.00","88.20","2.70K","0.00%"
"03/28/2023","97.85","97.85","97.00","88.10","220.52K","0.00%"
"03/29/2023","97.85","97.85","89.55","88.10","2.32K","0.00%"
"03/30/2023","97.85","97.85","89.10","88.10","27.83K","0.00%"
"03/31/2023","97.85","97.85","89.10","88.10","12.09K","0.00%"
"04/03/2023","97.85","97.85","88.80","88.10","1.63K","0.00%"
"04/04/2023","97.85","97.85","88.10","88.10","21.83K","0.00%"
"04/05/2023","97.85","97.85","88.10","88.10","7.47K","0.00%"
"04/06/2023","97.85","97.85","93.00","88.10","754.39K","0.00%"
"04/11/2023","97.85","97.85","93.00","88.10","1.39K","0.00%"
"04/12/2023","97.85","97.85","88.10","88.10","1.41K","0.00%"
"04/13/2023","97.85","97.85","88.10","88.10","4.24K","0.00%"
