"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","261.00","261.00","261.00","261.00","761.87K","0.00%"
"01/04/2023","261.00","261.00","261.00","261.00","304.87K","0.00%"
"01/05/2023","261.00","261.00","261.00","261.00","40.89K","0.00%"
"01/06/2023","262.00","261.00","262.00","262.00","794.65K","0.38%"
"01/09/2023","262.00","262.00","262.00","262.00","268.56K","0.00%"
"01/10/2023","270.00","262.00","270.00","270.00","1.19M","3.05%"
"01/11/2023","270.00","270.00","270.00","270.00","308.99K","0.00%"
"01/12/2023","270.00","270.00","270.00","270.00","2.55M","0.00%"
"01/13/2023","270.00","270.00","270.00","270.00","263.01K","0.00%"
"01/16/2023","270.00","270.00","270.00","270.00","423.27K","0.00%"
"01/17/2023","270.00","270.00","270.00","270.00","131.88K","0.00%"
"01/18/2023","265.00","270.00","265.00","265.00","2.11M","-1.85%"
"01/19/2023","265.00","265.00","265.00","265.00","50.70K","0.00%"
"01/20/2023","265.00","265.00","265.00","265.00","33.22K","0.00%"
"01/23/2023","265.00","265.00","265.00","265.00","84.85K","0.00%"
"01/24/2023","266.90","265.00","266.90","266.90","291.10K","0.72%"
"01/25/2023","266.90","266.90","266.90","266.90","94.63K","0.00%"
"01/26/2023","266.90","266.90","266.90","266.90","25.91K","0.00%"
"01/27/2023","266.90","266.90","266.90","266.90","90.33K","0.00%"
"01/30/2023","266.90","266.90","266.90","266.90","105.38K","0.00%"
"01/31/2023","266.90","266.90","266.90","266.90","196.45K","0.00%"
"02/01/2023","266.90","266.90","266.90","266.90","78.77K","0.00%"
"02/02/2023","266.90","266.90","266.90","266.90","21.85K","0.00%"
"02/03/2023","266.90","266.90","266.90","266.90","18.73K","0.00%"
"02/06/2023","266.90","266.90","266.90","266.90","41.46K","0.00%"
"02/07/2023","265.00","266.90","265.00","265.00","1.17M","-0.71%"
"02/08/2023","270.00","265.00","270.00","270.00","203.39K","1.89%"
"02/09/2023","270.00","270.00","270.00","270.00","166.42K","0.00%"
"02/10/2023","270.00","270.00","270.00","270.00","2.70K","0.00%"
"02/13/2023","270.00","270.00","270.00","270.00","3.01M","0.00%"
"02/14/2023","270.00","270.00","270.00","270.00","24.26K","0.00%"
"02/15/2023","270.00","270.00","270.00","270.00","47.67K","0.00%"
"02/16/2023","270.00","270.00","270.00","270.00","7.21M","0.00%"
"02/17/2023","270.00","270.00","270.00","270.00","1.02M","0.00%"
"02/20/2023","270.00","270.00","270.00","270.00","15.23K","0.00%"
"02/21/2023","270.00","270.00","270.00","270.00","285.51K","0.00%"
"02/22/2023","270.00","270.00","270.00","270.00","39.34K","0.00%"
"02/23/2023","270.00","270.00","270.00","270.00","638.54K","0.00%"
"02/24/2023","272.00","270.00","272.00","272.00","251.78K","0.74%"
"02/27/2023","272.00","272.00","272.00","272.00","422.57K","0.00%"
"02/28/2023","278.00","272.00","278.00","272.10","5.72M","2.21%"
"03/01/2023","278.00","278.00","278.00","278.00","553.54K","0.00%"
"03/02/2023","278.00","278.00","278.00","278.00","187.21K","0.00%"
"03/03/2023","278.00","278.00","278.00","278.00","184.48K","0.00%"
"03/06/2023","278.00","278.00","278.00","278.00","383.38K","0.00%"
"03/07/2023","280.00","278.00","280.00","280.00","1.21M","0.72%"
