"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","23.25","23.00","23.30","22.30","13.76M","1.09%"
"01/04/2023","23.50","23.25","23.50","23.10","12.23M","1.08%"
"01/05/2023","24.00","23.50","24.00","23.45","19.95M","2.13%"
"01/06/2023","24.00","24.00","24.00","23.85","10.18M","0.00%"
"01/09/2023","23.70","24.00","23.95","23.70","8.29M","-1.25%"
"01/10/2023","23.65","23.70","23.70","23.40","9.92M","-0.21%"
"01/11/2023","24.00","23.50","24.00","23.40","33.98M","1.48%"
"01/12/2023","24.50","24.00","24.50","24.00","19.81M","2.08%"
"01/13/2023","24.50","24.50","24.95","24.50","18.20M","0.00%"
"01/16/2023","24.10","24.50","24.20","24.00","20.03M","-1.63%"
"01/17/2023","24.20","24.10","24.20","23.90","16.75M","0.41%"
"01/18/2023","24.45","24.20","24.50","24.20","13.16M","1.03%"
"01/19/2023","24.35","24.45","24.40","24.30","18.52M","-0.41%"
"01/20/2023","24.10","24.35","24.35","24.10","4.59M","-1.03%"
"01/23/2023","24.15","24.10","24.15","24.05","10.99M","0.21%"
"01/24/2023","24.05","24.15","24.35","24.05","12.49M","-0.41%"
"01/25/2023","24.35","24.05","24.35","24.10","6.71M","1.25%"
"01/26/2023","24.35","24.35","24.35","24.30","17.79M","0.00%"
"01/27/2023","24.45","24.35","24.45","24.30","8.69M","0.41%"
"01/30/2023","25.00","24.45","25.00","24.45","23.35M","2.25%"
"01/31/2023","24.95","25.00","25.05","24.95","14.16M","-0.20%"
"02/01/2023","25.05","24.95","25.05","24.95","16.61M","0.40%"
"02/02/2023","25.05","25.05","25.15","25.05","13.93M","0.00%"
"02/03/2023","25.20","25.05","25.20","25.05","20.80M","0.60%"
"02/06/2023","25.10","25.20","25.20","25.10","50.59M","-0.40%"
"02/07/2023","25.25","25.10","25.25","25.10","13.66M","0.60%"
"02/08/2023","25.15","25.25","25.15","25.00","17.03M","-0.40%"
"02/09/2023","25.10","25.15","25.20","25.10","22.32M","-0.20%"
"02/10/2023","25.20","25.10","25.20","25.10","12.12M","0.40%"
"02/13/2023","25.15","25.20","25.15","25.10","22.88M","-0.20%"
"02/14/2023","25.10","25.15","25.15","25.10","3.08M","-0.20%"
"02/15/2023","25.15","25.10","25.20","25.10","42.35M","0.20%"
"02/16/2023","25.20","25.15","25.20","25.10","19.17M","0.20%"
"02/17/2023","25.15","25.20","25.20","25.15","8.74M","-0.20%"
"02/20/2023","25.10","25.15","25.25","25.10","36.68M","-0.20%"
"02/21/2023","25.00","25.10","25.10","25.00","31.07M","-0.40%"
