"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","215.00","215.00","218.00","211.50","497.34K","0.00%"
"01/04/2023","215.00","215.00","215.00","215.00","772.00K","0.00%"
"01/05/2023","215.00","215.00","216.50","215.00","379.63K","0.00%"
"01/06/2023","215.00","215.00","215.00","215.00","344.01K","0.00%"
"01/09/2023","215.00","215.00","215.00","215.00","824.66K","0.00%"
"01/10/2023","215.00","215.00","219.50","215.00","500.45K","0.00%"
"01/11/2023","215.00","215.00","219.00","215.00","561.31K","0.00%"
"01/12/2023","220.00","215.00","220.00","219.00","5.25M","2.33%"
"01/13/2023","229.90","220.00","229.90","225.00","1.57M","4.50%"
"01/16/2023","229.90","229.90","238.50","228.00","535.88K","0.00%"
"01/17/2023","229.90","229.90","234.00","220.00","711.95K","0.00%"
"01/18/2023","229.90","229.90","234.00","228.00","964.69K","0.00%"
"01/19/2023","229.90","229.90","234.00","230.00","882.97K","0.00%"
"01/20/2023","229.90","229.90","234.80","230.00","501.63K","0.00%"
"01/23/2023","230.00","229.90","230.00","230.00","1.43M","0.04%"
"01/24/2023","230.00","230.00","230.50","226.00","441.68K","0.00%"
"01/25/2023","229.00","230.00","229.00","226.00","2.28M","-0.43%"
"01/26/2023","229.00","229.00","230.60","226.00","251.71K","0.00%"
"01/27/2023","225.00","229.00","225.00","215.00","1.82M","-1.75%"
"01/30/2023","225.00","225.00","230.00","225.00","399.42K","0.00%"
"01/31/2023","225.00","225.00","230.90","227.00","394.12K","0.00%"
"02/01/2023","225.00","225.00","234.90","230.00","549.16K","0.00%"
"02/02/2023","233.50","225.00","233.50","233.50","499.63K","3.78%"
"02/03/2023","237.90","233.50","237.90","237.90","810.88K","1.88%"
"02/06/2023","242.00","237.90","242.00","242.00","917.81K","1.72%"
"02/07/2023","243.90","242.00","243.90","243.90","1.98M","0.79%"
"02/08/2023","243.90","243.90","245.00","236.00","755.37K","0.00%"
"02/09/2023","243.90","243.90","244.00","239.60","465.84K","0.00%"
"02/10/2023","241.90","243.90","241.90","241.90","2.85M","-0.82%"
"02/13/2023","241.90","241.90","250.00","242.20","565.55K","0.00%"
"02/14/2023","245.50","241.90","247.00","245.50","1.07M","1.49%"
"02/15/2023","245.50","245.50","246.00","240.00","1.35M","0.00%"
"02/16/2023","245.50","245.50","244.90","240.00","318.97K","0.00%"
"02/17/2023","245.50","245.50","244.30","240.30","1.73M","0.00%"
"02/20/2023","245.50","245.50","245.50","240.50","398.45K","0.00%"
"02/21/2023","245.50","245.50","245.30","238.50","2.03M","0.00%"
"02/22/2023","245.50","245.50","245.50","239.00","1.23M","0.00%"
"02/23/2023","245.50","245.50","245.50","241.20","537.86K","0.00%"
"02/24/2023","245.00","245.50","245.00","245.00","1.65M","-0.20%"
"02/27/2023","245.00","245.00","250.00","245.00","289.92K","0.00%"
"02/28/2023","245.00","245.00","255.00","248.50","378.12K","0.00%"
"03/01/2023","245.00","245.00","250.00","248.70","489.50K","0.00%"
"03/02/2023","245.00","245.00","250.00","240.00","143.74K","0.00%"
"03/03/2023","245.00","245.00","246.90","231.00","395.95K","0.00%"
"03/06/2023","248.00","245.00","248.00","248.00","680.66K","1.22%"
"03/07/2023","248.00","248.00","248.00","245.00","360.67K","0.00%"
"03/08/2023","249.50","248.00","249.50","249.50","598.91K","0.60%"
"03/09/2023","248.30","249.50","248.30","246.00","982.91K","-0.48%"
"03/10/2023","248.30","248.30","249.00","246.10","182.58K","0.00%"
"03/13/2023","248.30","248.30","249.00","248.00","462.73K","0.00%"
"03/14/2023","248.30","248.30","249.00","246.00","1.15M","0.00%"
"03/15/2023","248.30","248.30","248.30","234.00","473.31K","0.00%"
"03/16/2023","236.00","248.30","236.00","236.00","904.29K","-4.95%"
"03/17/2023","236.00","236.00","238.00","230.00","429.29K","0.00%"
"03/20/2023","236.00","236.00","239.90","230.10","200.84K","0.00%"
"03/21/2023","236.00","236.00","237.00","230.00","421.62K","0.00%"
"03/22/2023","236.00","236.00","239.90","231.50","215.23K","0.00%"
"03/23/2023","236.00","236.00","236.00","236.00","1.57M","0.00%"
"03/24/2023","236.00","236.00","235.90","233.50","4.19M","0.00%"
"03/27/2023","233.00","236.00","234.00","232.80","8.26M","-1.27%"
"03/28/2023","223.00","223.00","230.00","205.00","835.55K","-4.29%"
"03/29/2023","220.40","223.00","220.40","220.40","2.49M","-1.17%"
"03/30/2023","240.00","220.40","240.00","223.10","977.76K","8.89%"
"03/31/2023","240.00","240.00","240.00","230.00","808.58K","0.00%"
"04/03/2023","240.00","240.00","239.00","220.00","278.96K","0.00%"
"04/04/2023","240.00","240.00","238.00","220.30","663.73K","0.00%"
"04/05/2023","240.00","240.00","227.80","217.00","260.56K","0.00%"
"04/06/2023","240.00","240.00","228.00","220.00","176.68K","0.00%"
"04/11/2023","240.00","240.00","226.90","218.00","510.49K","0.00%"
"04/12/2023","240.00","240.00","223.00","217.00","735.05K","0.00%"
"04/13/2023","240.00","240.00","225.00","218.10","169.27K","0.00%"
"04/14/2023","240.00","240.00","229.70","218.00","346.35K","0.00%"
"04/17/2023","224.00","240.00","224.00","224.00","587.32K","-6.67%"
"04/18/2023","224.00","224.00","224.00","224.00","2.16M","0.00%"
"04/19/2023","224.00","224.00","226.00","220.00","703.95K","0.00%"
"04/20/2023","224.00","224.00","224.00","224.00","1.75M","0.00%"
"04/25/2023","229.00","224.00","229.00","224.00","1.42M","2.23%"
"04/26/2023","230.00","229.00","230.00","229.50","1.94M","0.44%"
"04/27/2023","230.00","230.00","229.80","226.00","305.23K","0.00%"
"04/28/2023","228.70","230.00","228.70","228.50","2.40M","-0.57%"
"05/02/2023","230.00","228.70","230.00","229.00","3.84M","0.57%"
"05/03/2023","228.50","230.00","228.50","228.50","682.00K","-0.65%"
"05/04/2023","229.00","228.50","229.00","229.00","1.25M","0.22%"
"05/05/2023","228.90","229.00","229.00","228.90","1.56M","-0.04%"
"05/08/2023","228.90","228.90","228.90","228.90","1.01M","0.00%"
"05/09/2023","228.90","228.90","229.90","228.10","882.23K","0.00%"
"05/10/2023","229.00","228.90","230.00","229.00","1.12M","0.04%"
"05/11/2023","229.00","229.00","230.00","228.90","493.91K","0.00%"
"05/12/2023","229.00","229.00","229.00","229.00","1.36M","0.00%"
"05/15/2023","229.00","229.00","229.00","229.00","576.24K","0.00%"
"05/16/2023","229.00","229.00","229.90","228.90","2.69M","0.00%"
"05/17/2023","229.00","229.00","229.00","229.00","6.10M","0.00%"
"05/18/2023","229.00","229.00","229.00","229.00","1.62M","0.00%"
"05/19/2023","229.00","229.00","229.00","229.00","2.46M","0.00%"
"05/22/2023","231.00","229.00","233.00","229.00","1.85M","0.87%"
"05/23/2023","231.00","231.00","231.00","231.00","2.17M","0.00%"
"05/24/2023","231.00","231.00","231.00","231.00","1.89M","0.00%"
"05/25/2023","231.20","231.00","231.20","231.20","1.28M","0.09%"
"05/26/2023","232.50","231.20","232.50","231.80","6.68M","0.56%"
"05/30/2023","250.00","232.50","253.00","234.00","3.62M","7.53%"
"05/31/2023","251.00","250.00","251.00","250.00","3.44M","0.40%"
"06/01/2023","249.90","251.00","249.90","249.90","1.04M","-0.44%"
"06/02/2023","249.90","249.90","249.00","242.00","446.83K","0.00%"
"06/05/2023","249.90","249.90","248.00","241.50","550.16K","0.00%"
"06/06/2023","249.90","249.90","249.70","241.10","610.47K","0.00%"
"06/07/2023","249.90","249.90","249.20","245.00","865.75K","0.00%"
"06/08/2023","250.00","249.90","250.00","246.60","4.84M","0.04%"
"06/09/2023","250.00","250.00","250.00","250.00","2.18M","0.00%"
"06/13/2023","259.00","250.00","260.00","257.00","4.98M","3.60%"
"06/14/2023","284.90","259.00","284.90","269.90","3.40M","10.00%"
"06/15/2023","274.00","284.90","274.00","274.00","2.37M","-3.83%"
"06/16/2023","274.00","274.00","274.00","256.00","2.10M","0.00%"
"06/19/2023","265.00","274.00","270.00","265.00","2.71M","-3.28%"
