"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","1,100.00","1,100.00","1,140.00","1,000.00","514.67K","0.00%"
"01/04/2023","1,100.00","1,100.00","1,100.00","1,020.00","18.45K","0.00%"
"01/05/2023","1,100.00","1,100.00","1,095.00","1,050.00","24.13K","0.00%"
"01/06/2023","1,080.00","1,100.00","1,080.00","1,080.00","236.34K","-1.82%"
"01/09/2023","1,080.00","1,080.00","1,095.00","1,060.10","16.88K","0.00%"
"01/10/2023","1,080.00","1,080.00","1,080.00","1,080.00","943.90K","0.00%"
"01/11/2023","1,080.00","1,080.00","1,106.00","1,080.10","250.37K","0.00%"
"01/12/2023","1,080.00","1,080.00","1,120.00","1,100.00","75.79K","0.00%"
"01/13/2023","1,080.00","1,080.00","1,120.00","1,100.00","20.91K","0.00%"
"01/16/2023","1,080.00","1,080.00","1,120.00","1,100.00","292.94K","0.00%"
"01/17/2023","1,100.00","1,080.00","1,100.00","1,100.00","147.90K","1.85%"
"01/18/2023","1,100.00","1,100.00","1,149.90","1,086.10","285.31K","0.00%"
"01/19/2023","1,100.00","1,100.00","1,100.00","1,080.00","107.53K","0.00%"
"01/20/2023","1,080.10","1,100.00","1,080.10","1,080.10","451.46K","-1.81%"
"01/23/2023","1,080.10","1,080.10","1,099.10","1,080.00","38.40K","0.00%"
"01/24/2023","1,080.10","1,080.10","1,098.90","1,080.00","44.06K","0.00%"
"01/25/2023","1,080.10","1,080.10","1,120.00","1,080.00","70.18K","0.00%"
"01/26/2023","1,080.10","1,080.10","1,114.00","1,080.30","22.41K","0.00%"
"01/27/2023","1,080.10","1,080.10","1,120.00","1,101.50","14.96K","0.00%"
"01/30/2023","1,080.10","1,080.10","1,149.00","1,100.00","64.92K","0.00%"
"01/31/2023","1,080.10","1,080.10","1,120.90","1,100.00","46.86K","0.00%"
"02/01/2023","1,100.00","1,080.10","1,100.00","1,100.00","507.10K","1.84%"
"02/02/2023","1,100.00","1,100.00","1,140.00","1,095.00","116.84K","0.00%"
"02/03/2023","1,080.00","1,100.00","1,080.00","1,080.00","190.60K","-1.82%"
"02/06/2023","1,080.00","1,080.00","1,100.00","1,070.10","31.78K","0.00%"
"02/07/2023","1,080.30","1,080.00","1,080.30","1,080.30","209.04K","0.03%"
"02/08/2023","1,080.30","1,080.30","1,099.90","1,080.40","9.59K","0.00%"
"02/09/2023","1,080.30","1,080.30","1,100.00","1,080.90","19.79K","0.00%"
"02/10/2023","1,080.30","1,080.30","1,100.00","1,081.50","82.74K","0.00%"
"02/13/2023","1,080.30","1,080.30","1,120.00","1,083.00","81.13K","0.00%"
"02/14/2023","1,080.30","1,080.30","1,120.00","1,100.00","27.87K","0.00%"
"02/15/2023","1,080.30","1,080.30","1,119.80","1,090.00","23.79K","0.00%"
"02/16/2023","1,080.30","1,080.30","1,100.90","1,085.20","74.41K","0.00%"
"02/17/2023","1,080.30","1,080.30","1,100.00","1,085.50","41.69K","0.00%"
"02/20/2023","1,080.30","1,080.30","1,140.00","1,095.00","22.03K","0.00%"
"02/21/2023","1,080.30","1,080.30","1,120.00","1,100.00","79.07K","0.00%"
"02/22/2023","1,080.30","1,080.30","1,118.00","1,081.50","17.28K","0.00%"
"02/23/2023","1,080.30","1,080.30","1,118.00","1,096.00","51.64K","0.00%"
"02/24/2023","1,080.30","1,080.30","1,100.40","1,096.10","22.48K","0.00%"
"02/27/2023","1,080.30","1,080.30","1,119.00","1,096.30","18.91K","0.00%"
"02/28/2023","1,080.30","1,080.30","1,115.00","1,096.50","49.12K","0.00%"
"03/01/2023","1,080.30","1,080.30","1,119.90","1,096.50","46.58K","0.00%"
"03/02/2023","1,080.30","1,080.30","1,119.00","1,100.00","50.07K","0.00%"
"03/03/2023","1,080.30","1,080.30","1,149.00","1,110.00","14.81K","0.00%"
"03/06/2023","1,080.30","1,080.30","1,149.00","1,110.00","163.92K","0.00%"
"03/07/2023","1,080.30","1,080.30","1,145.00","1,100.00","134.23K","0.00%"
"03/08/2023","1,080.30","1,080.30","1,138.00","1,098.00","49.87K","0.00%"
"03/09/2023","1,080.30","1,080.30","1,125.00","1,095.10","45.76K","0.00%"
"03/10/2023","1,080.30","1,080.30","1,130.00","1,095.00","50.62K","0.00%"
"03/13/2023","1,080.30","1,080.30","1,120.00","1,082.10","51.40K","0.00%"
"03/14/2023","1,080.30","1,080.30","1,110.00","1,081.70","48.97K","0.00%"
"03/15/2023","1,080.30","1,080.30","1,129.50","1,082.00","19.62K","0.00%"
"03/16/2023","1,080.30","1,080.30","1,099.90","1,082.50","13.00K","0.00%"
"03/17/2023","1,080.30","1,080.30","1,100.00","1,083.50","34.71K","0.00%"
"03/20/2023","1,080.30","1,080.30","1,100.00","1,083.60","18.90K","0.00%"
"03/21/2023","1,080.30","1,080.30","1,129.90","1,085.00","7.32K","0.00%"
"03/22/2023","1,080.30","1,080.30","1,129.00","1,100.00","0.80K","0.00%"
"03/23/2023","1,080.30","1,080.30","1,130.00","1,100.00","46.42K","0.00%"
"03/24/2023","1,080.30","1,080.30","1,129.90","1,090.60","72.14K","0.00%"
"03/27/2023","1,080.30","1,080.30","1,100.00","1,091.00","88.45K","0.00%"
"03/28/2023","1,080.30","1,080.30","1,099.90","1,092.50","151.57K","0.00%"
"03/29/2023","1,080.30","1,080.30","1,129.00","1,092.50","42.25K","0.00%"
"03/30/2023","1,080.30","1,080.30","1,128.50","1,100.00","10.06K","0.00%"
"03/31/2023","1,080.30","1,080.30","1,130.00","1,100.00","125.39K","0.00%"
"04/03/2023","1,080.30","1,080.30","1,120.00","1,085.60","92.66K","0.00%"
"04/04/2023","1,080.30","1,080.30","1,095.00","1,083.50","30.62K","0.00%"
"04/05/2023","1,080.30","1,080.30","1,090.00","1,081.00","61.74K","0.00%"
"04/06/2023","1,080.30","1,080.30","1,090.00","1,080.30","17.31K","0.00%"
"04/11/2023","1,080.30","1,080.30","1,085.00","1,080.30","8.51K","0.00%"
"04/12/2023","1,080.30","1,080.30","1,085.00","1,080.30","13.72K","0.00%"
"04/13/2023","1,080.30","1,080.30","1,085.00","1,080.30","5.06K","0.00%"
"04/14/2023","1,080.30","1,080.30","1,085.00","1,080.40","6.82K","0.00%"
"04/17/2023","1,080.30","1,080.30","1,084.00","1,070.00","29.07K","0.00%"
"04/18/2023","1,080.30","1,080.30","1,080.00","1,070.00","17.31K","0.00%"
"04/19/2023","1,080.30","1,080.30","1,075.00","1,072.40","78.05K","0.00%"
"04/20/2023","1,080.30","1,080.30","1,075.00","973.00","176.89K","0.00%"
"04/25/2023","1,043.80","1,043.80","1,080.00","990.10","32.23K","-3.38%"
"04/26/2023","1,043.80","1,043.80","1,030.00","1,000.00","109.89K","0.00%"
"04/27/2023","1,043.80","1,043.80","1,010.00","1,001.00","41.66K","0.00%"
"04/28/2023","1,043.80","1,043.80","1,010.00","1,000.00","42.00K","0.00%"
"05/02/2023","1,043.80","1,043.80","1,040.00","990.00","38.67K","0.00%"
"05/03/2023","1,043.80","1,043.80","1,010.00","998.10","9.31K","0.00%"
"05/04/2023","1,043.80","1,043.80","990.00","985.10","19.63K","0.00%"
"05/05/2023","1,043.80","1,043.80","990.00","980.00","49.78K","0.00%"
"05/08/2023","1,043.80","1,043.80","1,042.90","990.00","22.15K","0.00%"
"05/09/2023","1,043.80","1,043.80","1,042.60","995.00","5.93K","0.00%"
"05/10/2023","1,043.80","1,043.80","1,000.00","992.10","8.19K","0.00%"
"05/11/2023","1,043.80","1,043.80","1,000.00","990.00","26.65K","0.00%"
"05/12/2023","1,043.80","1,043.80","1,000.00","980.00","52.85K","0.00%"
"05/15/2023","1,043.80","1,043.80","1,040.00","990.00","45.33K","0.00%"
"05/16/2023","1,043.80","1,043.80","1,043.80","1,000.10","28.44K","0.00%"
"05/17/2023","1,043.80","1,043.80","1,043.80","1,001.10","4.60K","0.00%"
"05/18/2023","1,043.80","1,043.80","1,040.80","1,034.00","38.13K","0.00%"
"05/19/2023","1,043.80","1,043.80","1,047.90","1,002.00","37.58K","0.00%"
