"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","51,595.66","51,251.06","51,595.66","51,241.36","129.17M","0.67%"
"01/04/2023","51,657.56","51,598.35","51,668.24","51,198.49","265.73M","0.12%"
"01/05/2023","50,868.52","51,657.56","51,785.05","50,842.95","138.72M","-1.53%"
"01/06/2023","51,222.34","50,868.52","51,222.34","50,830.51","195.71M","0.70%"
"01/09/2023","51,700.36","51,222.34","51,841.05","51,207.13","229.22M","0.93%"
"01/10/2023","51,446.60","51,693.08","51,712.97","51,220.23","345.49M","-0.49%"
"01/11/2023","51,729.87","51,446.60","51,746.32","51,369.76","281.80M","0.55%"
"01/12/2023","52,048.85","51,729.87","52,495.11","51,696.17","211.69M","0.62%"
"01/13/2023","52,512.48","52,048.85","52,512.48","52,048.85","216.92M","0.89%"
"01/16/2023","52,348.82","52,512.48","52,519.61","52,348.82","220.65M","-0.31%"
"01/17/2023","52,701.31","52,343.41","52,737.72","52,329.29","228.49M","0.67%"
"01/18/2023","52,615.51","52,701.31","52,718.70","52,558.62","217.95M","-0.16%"
"01/19/2023","52,626.42","52,615.51","52,631.80","52,603.89","129.03M","0.02%"
"01/20/2023","52,594.68","52,626.42","52,642.34","52,586.87","443.75M","-0.06%"
"01/23/2023","52,657.69","52,594.68","52,657.69","52,585.64","143.73M","0.12%"
"01/24/2023","52,612.55","52,657.69","52,691.04","52,533.14","182.39M","-0.09%"
"01/25/2023","52,599.65","52,612.55","52,636.48","52,477.59","119.79M","-0.02%"
"01/26/2023","52,752.96","52,599.65","52,752.96","52,599.65","139.68M","0.29%"
"01/27/2023","52,657.88","52,752.96","52,753.28","52,213.70","171.11M","-0.18%"
"01/30/2023","53,157.83","52,649.24","53,167.11","52,639.28","201.36M","0.95%"
"01/31/2023","53,238.67","53,157.49","53,299.54","53,157.49","250.19M","0.15%"
"02/01/2023","53,499.68","53,238.67","53,499.68","53,234.31","200.37M","0.49%"
"02/02/2023","53,998.12","53,499.31","53,998.12","53,483.40","2.87B","0.93%"
"02/03/2023","54,213.09","53,998.12","54,213.09","53,994.01","267.99M","0.40%"
"02/06/2023","54,367.74","54,213.09","54,367.74","54,206.40","191.64M","0.29%"
"02/07/2023","54,299.76","54,367.86","54,369.44","54,236.37","200.04M","-0.13%"
"02/08/2023","54,427.05","54,299.57","54,441.81","54,285.38","151.58M","0.23%"
"02/09/2023","54,359.90","54,427.05","54,429.93","54,358.20","225.38M","-0.12%"
"02/10/2023","54,327.30","54,359.90","54,383.13","54,301.52","175.66M","-0.06%"
"02/13/2023","54,364.67","54,327.30","54,378.64","54,327.30","140.64M","0.07%"
"02/14/2023","54,496.31","54,364.67","54,542.10","54,338.99","177.90M","0.24%"
"02/15/2023","54,507.66","54,496.31","54,513.44","54,475.44","134.43M","0.02%"
"02/16/2023","54,521.49","54,507.66","54,547.20","54,506.43","125.85M","0.03%"
"02/17/2023","53,804.46","54,520.20","54,553.73","53,804.46","172.90M","-1.32%"
"02/20/2023","54,224.35","53,804.46","54,229.61","53,796.91","154.61M","0.78%"
"02/21/2023","54,189.31","54,224.35","54,224.54","54,182.61","129.11M","-0.06%"
"02/22/2023","54,315.53","54,189.31","54,315.53","54,182.36","129.85M","0.23%"
"02/23/2023","54,646.38","54,315.53","54,646.38","54,315.42","142.04M","0.61%"
"02/24/2023","54,949.21","54,811.59","54,955.12","54,787.29","119.09M","0.55%"
"02/27/2023","55,328.42","54,949.21","55,334.96","54,941.76","149.77M","0.69%"
"02/28/2023","55,806.26","55,328.42","55,819.41","55,322.01","237.09M","0.86%"
"03/01/2023","55,508.61","55,806.26","55,985.47","55,385.90","232.58M","-0.53%"
"03/02/2023","55,670.24","55,510.10","55,670.24","55,281.94","205.66M","0.29%"
"03/03/2023","55,529.21","55,670.08","55,710.62","55,529.21","184.24M","-0.25%"
"03/06/2023","55,605.57","55,529.21","55,645.51","55,515.15","123.54M","0.14%"
