"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","1,044.67","1,044.67","1,097.50","995.00","7.49K","0.00%"
"01/04/2023","1,044.67","1,044.67","1,050.00","995.10","5.67K","0.00%"
"01/05/2023","1,044.67","1,044.67","1,049.60","1,000.00","1.01K","0.00%"
"01/06/2023","1,044.67","1,044.67","1,044.67","1,044.67","192.51K","0.00%"
"01/09/2023","1,044.67","1,044.67","1,140.00","1,050.00","5.19K","0.00%"
"01/10/2023","1,044.67","1,044.67","1,044.67","1,044.67","243.04K","0.00%"
"01/11/2023","1,044.67","1,044.67","1,100.00","1,000.20","5.98K","0.00%"
"01/12/2023","1,044.67","1,044.67","1,119.00","1,100.00","8.09K","0.00%"
"01/13/2023","1,044.67","1,044.67","1,119.90","1,052.50","9.49K","0.00%"
"01/16/2023","1,044.67","1,044.67","1,044.67","1,044.67","153.14K","0.00%"
"01/17/2023","1,044.67","1,044.67","1,128.00","1,098.80","0.39K","0.00%"
"01/18/2023","1,044.67","1,044.67","1,205.00","1,100.00","3.24K","0.00%"
"01/19/2023","1,044.67","1,044.67","1,197.30","1,103.40","0.13K","0.00%"
"01/20/2023","1,044.67","1,044.67","1,204.90","1,103.40","1.59K","0.00%"
"01/23/2023","1,044.67","1,044.67","1,204.90","1,109.10","0.46K","0.00%"
"01/24/2023","1,044.67","1,044.67","1,210.00","1,120.00","10.74K","0.00%"
"01/25/2023","1,044.67","1,044.67","1,210.00","1,210.00","0.12K","0.00%"
"01/26/2023","1,044.67","1,044.67","1,210.00","1,210.00","0.02K","0.00%"
"01/27/2023","1,044.67","1,044.67","1,210.00","1,130.00","3.48K","0.00%"
"01/30/2023","1,044.67","1,044.67","1,210.00","1,127.80","3.90K","0.00%"
"01/31/2023","1,044.67","1,044.67","1,210.00","1,160.00","2.28K","0.00%"
"02/01/2023","1,149.13","1,044.67","1,149.13","1,149.13","412.24K","10.00%"
"02/02/2023","1,258.35","1,149.13","1,258.35","1,258.35","443.71K","9.50%"
"02/03/2023","1,258.35","1,258.35","1,350.00","1,230.00","23.88K","0.00%"
"02/06/2023","1,258.35","1,258.35","1,258.35","1,258.35","545.18K","0.00%"
"02/07/2023","1,258.35","1,258.35","1,352.00","1,223.80","4.44K","0.00%"
"02/08/2023","1,258.35","1,258.35","1,324.60","1,220.00","0.42K","0.00%"
"02/09/2023","1,258.35","1,258.35","1,258.35","1,258.35","389.25K","0.00%"
"02/10/2023","1,258.35","1,258.35","1,334.90","1,300.00","105.22K","0.00%"
"02/13/2023","1,258.35","1,258.35","1,329.90","1,227.40","113.86K","0.00%"
"02/14/2023","1,258.35","1,258.35","1,258.35","1,258.35","204.23K","0.00%"
"02/15/2023","1,258.35","1,258.35","1,258.35","1,258.35","892.88K","0.00%"
"02/16/2023","1,258.35","1,258.35","1,325.00","1,325.00","0.80K","0.00%"
"02/17/2023","1,258.35","1,258.35","1,329.90","1,300.00","1.28K","0.00%"
"02/20/2023","1,258.35","1,258.35","1,258.35","1,258.35","133.15K","0.00%"
"02/21/2023","1,258.35","1,258.35","1,258.35","1,258.35","244.44K","0.00%"
"02/22/2023","1,258.35","1,258.35","1,258.35","1,258.35","826.45K","0.00%"
"02/23/2023","1,258.35","1,258.35","1,325.00","1,281.00","27.07K","0.00%"
"02/24/2023","1,258.35","1,258.35","1,258.35","1,258.35","399.42K","0.00%"
"02/27/2023","1,258.35","1,258.35","1,319.70","1,200.00","5.14K","0.00%"
"02/28/2023","1,258.35","1,258.35","1,300.00","1,207.90","13.79K","0.00%"
"03/01/2023","1,258.35","1,258.35","1,298.00","1,196.10","147.05K","0.00%"
"03/02/2023","1,258.35","1,258.35","1,297.40","1,193.00","15.42K","0.00%"
"03/03/2023","1,139.64","1,258.35","1,139.64","1,139.64","349.05K","-9.43%"
"03/06/2023","1,139.64","1,139.64","1,200.00","1,123.00","1.63K","0.00%"
"03/07/2023","1,139.64","1,139.64","1,195.00","1,082.10","5.55K","0.00%"
"03/08/2023","1,139.64","1,139.64","1,190.00","1,100.20","1.30K","0.00%"
"03/09/2023","1,139.64","1,139.64","1,199.00","1,100.10","3.62K","0.00%"
"03/10/2023","1,139.64","1,139.64","1,199.00","1,107.00","6.99K","0.00%"
"03/13/2023","1,139.64","1,139.64","1,170.00","1,100.00","17.10K","0.00%"
"03/14/2023","1,139.64","1,139.64","1,178.00","1,100.00","3.53K","0.00%"
"03/15/2023","1,139.64","1,139.64","1,178.60","1,149.90","1.66K","0.00%"
"03/16/2023","1,139.64","1,139.64","1,177.00","1,105.00","0.80K","0.00%"
"03/17/2023","1,139.64","1,139.64","1,150.00","1,120.00","59.59K","0.00%"
"03/20/2023","1,139.64","1,139.64","1,180.00","1,099.00","2.97K","0.00%"
"03/21/2023","1,139.64","1,139.64","1,179.00","1,100.00","0.92K","0.00%"
"03/22/2023","1,139.64","1,139.64","1,126.90","1,098.00","0.80K","0.00%"
"03/23/2023","1,139.64","1,139.64","1,127.00","1,080.00","5.90K","0.00%"
"03/24/2023","1,139.64","1,139.64","1,158.00","1,080.00","201.16K","0.00%"
"03/27/2023","1,092.15","1,139.64","1,092.15","1,092.15","690.50K","-4.17%"
