"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","8.30","7.60","8.30","7.70","8.15M","9.21%"
"01/04/2023","8.00","8.30","8.25","8.00","12.21M","-3.61%"
"01/05/2023","7.95","8.00","8.00","7.95","1.56M","-0.63%"
"01/06/2023","8.00","7.95","8.20","8.00","17.32M","0.63%"
"01/09/2023","8.00","8.00","8.15","7.90","21.62M","0.00%"
"01/10/2023","8.00","8.00","8.05","8.00","6.88M","0.00%"
"01/11/2023","8.10","8.00","8.15","8.00","5.46M","1.25%"
"01/12/2023","8.20","8.10","8.20","8.10","9.58M","1.23%"
"01/13/2023","8.35","8.20","8.50","8.25","17.15M","1.83%"
"01/16/2023","8.00","8.35","8.45","8.00","22.93M","-4.19%"
"01/17/2023","8.05","8.00","8.10","8.05","6.59M","0.63%"
"01/18/2023","8.15","8.05","8.15","8.10","8.13M","1.24%"
"01/19/2023","8.05","8.15","8.15","8.05","9.73M","-1.23%"
"01/20/2023","8.10","8.05","8.10","8.05","5.35M","0.62%"
"01/23/2023","8.10","8.10","8.15","8.05","8.84M","0.00%"
"01/24/2023","8.30","8.10","8.35","8.20","12.68M","2.47%"
"01/25/2023","8.10","8.30","8.30","8.10","3.45M","-2.41%"
"01/26/2023","8.20","8.10","8.20","8.10","3.88M","1.23%"
"01/27/2023","8.15","8.20","8.20","8.15","5.84M","-0.61%"
"01/30/2023","8.20","8.15","8.30","8.10","11.45M","0.61%"
"01/31/2023","8.20","8.20","8.30","8.15","8.21M","0.00%"
"02/01/2023","8.20","8.20","8.20","8.15","11.15M","0.00%"
"02/02/2023","8.20","8.20","8.20","8.10","8.77M","0.00%"
"02/03/2023","8.45","8.20","8.45","8.20","8.14M","3.05%"
"02/06/2023","8.40","8.45","8.45","8.30","14.94M","-0.59%"
"02/07/2023","8.40","8.40","8.35","8.30","3.46M","0.00%"
"02/08/2023","8.35","8.40","8.40","8.35","7.74M","-0.60%"
"02/09/2023","8.35","8.35","8.35","8.30","6.06M","0.00%"
"02/10/2023","8.35","8.35","8.40","8.30","2.12M","0.00%"
"02/13/2023","8.40","8.35","8.40","8.35","28.62M","0.60%"
"02/14/2023","8.35","8.40","8.40","8.35","25.73M","-0.60%"
"02/15/2023","8.40","8.35","8.40","8.35","13.10M","0.60%"
"02/16/2023","8.40","8.40","8.40","8.40","14.36M","0.00%"
"02/17/2023","8.35","8.40","8.35","8.30","9.83M","-0.60%"
"02/20/2023","8.40","8.35","8.40","8.35","940.50K","0.60%"
"02/21/2023","8.35","8.40","8.35","8.30","7.19M","-0.60%"
"02/22/2023","8.35","8.35","8.35","8.25","5.43M","0.00%"
"02/23/2023","8.40","8.35","8.40","8.35","32.42M","0.60%"
"02/24/2023","8.50","8.40","8.55","8.40","7.59M","1.19%"
"02/27/2023","8.50","8.50","8.50","8.40","9.11M","0.00%"
"02/28/2023","8.70","8.50","8.80","8.45","8.24M","2.35%"
"03/01/2023","8.80","8.70","8.90","8.70","15.80M","1.15%"
"03/02/2023","8.70","8.80","8.80","8.55","8.89M","-1.14%"
"03/03/2023","8.60","8.70","8.65","8.50","6.98M","-1.15%"
"03/06/2023","8.70","8.60","8.70","8.55","9.19M","1.16%"
"03/07/2023","8.55","8.70","8.70","8.55","11.14M","-1.72%"
"03/08/2023","8.40","8.55","8.55","8.40","15.00M","-1.75%"
"03/09/2023","8.40","8.40","8.45","8.40","3.86M","0.00%"
"03/10/2023","8.25","8.40","8.50","8.20","13.78M","-1.79%"
"03/13/2023","8.15","8.25","8.25","8.15","13.70M","-1.21%"
"03/14/2023","8.05","8.15","8.15","8.05","12.68M","-1.23%"
"03/15/2023","8.00","8.05","8.10","8.00","15.15M","-0.62%"
"03/16/2023","8.00","8.00","8.00","7.85","10.24M","0.00%"
"03/17/2023","8.05","8.00","8.15","8.05","17.91M","0.63%"
"03/20/2023","8.10","8.05","8.10","8.05","15.96M","0.62%"
"03/21/2023","8.00","8.10","8.10","8.00","19.60M","-1.23%"
"03/22/2023","8.00","8.00","8.20","8.00","21.23M","0.00%"
"03/23/2023","8.00","8.00","8.10","8.00","9.00M","0.00%"
"03/24/2023","8.00","8.00","8.10","8.00","12.82M","0.00%"
"03/27/2023","8.00","8.00","8.05","7.95","10.04M","0.00%"
"03/28/2023","8.00","8.00","8.00","8.00","1.25M","0.00%"
"03/29/2023","8.00","8.00","8.05","7.95","16.58M","0.00%"
"03/30/2023","8.00","8.00","8.05","8.00","16.09M","0.00%"
"03/31/2023","8.35","8.30","8.60","8.30","39.00M","4.38%"
"04/03/2023","8.40","8.35","8.40","8.30","26.81M","0.60%"
"04/04/2023","8.35","8.40","8.55","8.30","21.41M","-0.60%"
"04/05/2023","8.35","8.35","8.50","8.30","64.20M","0.00%"
"04/06/2023","8.55","8.35","8.55","8.40","18.02M","2.40%"
"04/11/2023","8.55","8.55","8.60","8.50","20.98M","0.00%"
"04/12/2023","8.45","8.55","8.60","8.45","19.82M","-1.17%"
"04/13/2023","8.45","8.45","8.50","8.35","22.60M","0.00%"
"04/14/2023","8.50","8.50","8.60","8.45","94.10M","0.59%"
"04/17/2023","7.90","7.60","7.95","7.70","10.29M","-7.06%"
"04/18/2023","7.85","7.90","7.90","7.70","13.10M","-0.63%"
"04/19/2023","7.90","7.85","7.90","7.80","7.01M","0.64%"
"04/20/2023","7.85","7.90","7.90","7.75","39.19M","-0.63%"
"04/25/2023","7.90","7.85","7.90","7.85","18.21M","0.64%"
"04/26/2023","7.90","7.90","7.90","7.85","27.60M","0.00%"
"04/27/2023","7.85","7.90","7.90","7.80","26.17M","-0.63%"
"04/28/2023","7.75","7.85","7.90","7.75","43.81M","-1.27%"
"05/02/2023","7.90","7.75","7.90","7.75","18.24M","1.94%"
"05/03/2023","7.90","7.90","7.95","7.80","13.68M","0.00%"
"05/04/2023","7.85","7.90","7.90","7.80","9.71M","-0.63%"
"05/05/2023","7.90","7.85","7.90","7.80","53.51M","0.64%"
"05/08/2023","7.95","7.90","8.00","7.90","78.06M","0.63%"
"05/09/2023","7.95","8.00","8.00","7.90","91.11M","0.00%"
"05/10/2023","8.00","7.95","8.15","7.90","42.94M","0.63%"
"05/11/2023","8.10","8.00","8.35","8.00","102.06M","1.25%"
"05/12/2023","8.25","8.10","8.25","8.10","9.58M","1.85%"
"05/15/2023","8.40","8.25","8.45","8.05","39.10M","1.82%"
"05/16/2023","8.60","8.40","8.65","8.40","94.31M","2.38%"
"05/17/2023","8.60","8.60","8.75","8.60","24.55M","0.00%"
"05/18/2023","8.45","8.60","8.70","8.30","18.60M","-1.74%"
"05/19/2023","8.35","8.45","8.35","8.30","48.91M","-1.18%"
"05/22/2023","8.40","8.35","8.45","8.35","31.11M","0.60%"
"05/23/2023","8.40","8.35","8.40","8.05","62.45M","0.00%"
"05/24/2023","8.70","8.40","8.85","8.40","66.49M","3.57%"
"05/25/2023","8.75","8.70","8.80","8.40","86.17M","0.57%"
"05/26/2023","9.30","8.75","9.30","8.50","59.41M","6.29%"
"05/30/2023","10.20","9.30","10.20","9.75","81.99M","9.68%"
"05/31/2023","9.90","10.20","11.00","9.30","90.20M","-2.94%"
"06/01/2023","9.80","9.90","9.95","9.70","46.10M","-1.01%"
"06/02/2023","9.35","9.80","9.75","9.30","48.79M","-4.59%"
"06/05/2023","9.45","9.35","9.50","9.25","16.25M","1.07%"
"06/06/2023","9.35","9.45","9.60","9.25","47.13M","-1.06%"
"06/07/2023","9.55","9.35","9.55","9.35","12.76M","2.14%"
"06/08/2023","9.95","9.55","9.95","9.50","177.48M","4.19%"
"06/09/2023","9.95","9.95","10.10","9.75","22.62M","0.00%"
"06/13/2023","10.90","10.15","10.90","10.15","214.94M","9.55%"
"06/14/2023","11.95","11.40","11.95","11.10","230.76M","9.63%"
"06/15/2023","11.10","12.50","13.10","11.00","192.83M","-7.11%"
"06/16/2023","11.10","11.10","11.70","11.00","46.27M","0.00%"
"06/19/2023","11.50","11.10","11.90","11.10","60.09M","3.60%"
"06/20/2023","11.50","11.50","11.85","11.45","78.51M","0.00%"
"06/21/2023","11.45","11.50","11.55","11.30","31.67M","-0.43%"
"06/22/2023","11.30","11.45","11.50","11.20","48.11M","-1.31%"
"06/23/2023","11.45","11.30","11.45","11.30","62.69M","1.33%"
"06/26/2023","11.70","11.45","11.70","11.45","39.49M","2.18%"
"06/27/2023","12.25","11.70","12.35","11.70","72.29M","4.70%"
"06/30/2023","12.25","12.25","12.40","12.20","90.63M","0.00%"
"07/03/2023","13.45","12.25","13.45","12.25","160.67M","9.80%"
"07/04/2023","12.75","13.90","14.00","12.50","87.33M","-5.20%"
"07/05/2023","13.10","12.75","13.45","12.40","57.51M","2.75%"
"07/06/2023","13.35","13.10","13.40","12.90","46.13M","1.91%"
"07/07/2023","14.20","13.35","14.65","13.35","98.24M","6.37%"
"07/10/2023","14.90","14.20","15.60","14.15","91.70M","4.93%"
"07/11/2023","14.30","14.90","15.00","14.10","55.11M","-4.03%"
"07/12/2023","14.20","14.65","14.65","13.10","177.79M","-0.70%"
