ticker,price,change,change_pct,volume,shares_outstanding,market_cap,company,date,time,source
AIRTELAFRI,5801.4,0.0,0.0,1.0K,3.76B,₦21.80T,Airtel Africa Plc,2026-07-24,13:39:06,live
MTNN,850.0,0.0,0.0,177.2K,21.00B,₦17.85T,MTN Nigeria Communications Plc,2026-07-24,13:39:06,live
DANGCEM,1034.0,0.0,0.0,75.3K,16.87B,₦17.45T,Dangote Cement Plc,2026-07-24,13:39:06,live
BUAFOODS,845.1,0.0,0.0,111.2K,18.00B,₦15.21T,BUA Foods Plc,2026-07-24,13:39:06,live
BUACEMENT,324.0,0.0,0.0,380.9K,33.86B,₦10.97T,BUA Cement Plc,2026-07-24,13:39:06,live
SEPLAT,11363.9,0.0,0.0,1.6K,599.94M,₦6.82T,Seplat Energy Plc,2026-07-24,13:39:06,live
ARADEL,1526.8,0.0,0.0,202.3K,4.34B,₦6.63T,Aradel Holdings Plc,2026-07-24,13:39:06,live
FIRSTHOLDCO,125.0,4.1,3.39,7.69M,44.45B,₦5.56T,First HoldCo Plc,2026-07-24,13:39:06,live
ZENITHBANK,128.0,1.65,1.31,3.77M,41.07B,₦5.26T,Zenith Bank Plc,2026-07-24,13:39:06,live
GTCO,131.9,0.0,0.08,3.25M,36.55B,₦4.82T,Guaranty Trust Holding Company Plc,2026-07-24,13:39:06,live
PRESCO,2300.0,0.0,0.0,7.2K,1.17B,₦2.68T,Presco Plc,2026-07-24,13:39:06,live
STANBIC,163.0,0.0,0.0,70.8K,15.90B,₦2.59T,Stanbic IBTC Holdings Plc,2026-07-24,13:39:06,live
TRANSCOHOT,241.9,0.0,0.0,7.1K,10.24B,₦2.48T,Transcorp Hotels Plc,2026-07-24,13:39:06,live
,77.5,0.0,0.0,516.0K,30.98B,₦2.40T,,2026-07-24,13:39:06,live
INTBREW,13.7,0.0,0.0,121.7K,168.29B,₦2.31T,International Breweries Plc,2026-07-24,13:39:06,live
